epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
42,1115.56,1.04083,1.07973,1.01306,0.51244,0.28593,0.28805,0.2175,1.12934,2.08804,1.06333,0.000270316,0.000270316,0.000270316
43,1139.73,1.02604,1.05471,1.01239,0.56381,0.26763,0.28302,0.2156,1.12358,2.10568,1.0518,0.000265811,0.000265811,0.000265811
44,1164.57,1.03015,1.04589,1.01402,0.52452,0.28369,0.29473,0.21986,1.14089,2.03526,1.06265,0.000261307,0.000261307,0.000261307
45,1189.27,1.03075,1.03526,1.01013,0.52139,0.27739,0.29167,0.21944,1.13678,2.03614,1.06276,0.000256802,0.000256802,0.000256802
46,1217.96,1.02992,1.04178,1.01152,0.48306,0.28543,0.28939,0.21786,1.1134,2.05256,1.05287,0.000252298,0.000252298,0.000252298
47,1242.97,1.01418,1.02047,1.01293,0.51087,0.2864,0.29514,0.22299,1.1194,2.04634,1.0535,0.000247793,0.000247793,0.000247793
48,1268.13,1.01084,1.00501,1.00995,0.5719,0.26723,0.29486,0.22344,1.11291,2.04904,1.04858,0.000243289,0.000243289,0.000243289
49,1293.63,1.00594,0.99614,1.00363,0.54918,0.28525,0.30533,0.23421,1.10695,1.95989,1.04522,0.000238784,0.000238784,0.000238784
50,1318.92,1.02566,1.00065,1.00862,0.61976,0.28333,0.3051,0.23244,1.12565,2.00544,1.05478,0.00023428,0.00023428,0.00023428
51,1351.33,0.9952,0.96093,0.99783,0.55929,0.29461,0.30505,0.22971,1.11537,1.9742,1.05485,0.000229775,0.000229775,0.000229775
52,1375.67,1.00476,0.9624,0.99968,0.59252,0.26953,0.30436,0.23107,1.10923,2.02266,1.04802,0.00022527,0.00022527,0.00022527
53,1401.48,0.99737,0.9626,1.00001,0.55461,0.28401,0.31056,0.23686,1.10313,2.0132,1.04565,0.000220766,0.000220766,0.000220766
54,1427.38,1.00018,0.95012,0.99621,0.51926,0.28303,0.29817,0.22492,1.11973,2.07298,1.05072,0.000216261,0.000216261,0.000216261
55,1454.6,0.99129,0.93385,0.9945,0.52752,0.2912,0.29973,0.22873,1.10861,2.04859,1.0456,0.000211757,0.000211757,0.000211757
56,1479.49,0.98933,0.93229,0.99264,0.51802,0.29879,0.31428,0.23655,1.10746,1.98933,1.04782,0.000207252,0.000207252,0.000207252
57,1519.99,0.98217,0.91257,0.98998,0.53704,0.30107,0.31491,0.23922,1.10211,1.99473,1.04754,0.000202748,0.000202748,0.000202748
58,1563.57,0.98004,0.90536,0.98947,0.50501,0.31637,0.31776,0.24206,1.09253,2.01019,1.04619,0.000198244,0.000198244,0.000198244
59,1603.21,0.97065,0.90761,0.98665,0.53788,0.30741,0.32085,0.24227,1.10574,1.99278,1.04609,0.000193739,0.000193739,0.000193739
60,1644.99,0.96876,0.88592,0.98763,0.58928,0.29717,0.32383,0.24479,1.10699,1.9904,1.05222,0.000189235,0.000189235,0.000189235
61,1676.19,0.96939,0.88004,0.98657,0.54784,0.30804,0.32328,0.24234,1.11281,2.00376,1.05597,0.00018473,0.00018473,0.00018473
62,1700.54,0.95597,0.87713,0.98214,0.60473,0.29348,0.32534,0.24578,1.09911,1.97702,1.04939,0.000180226,0.000180226,0.000180226
63,1725.17,0.96575,0.87159,0.98342,0.51998,0.30181,0.3184,0.23893,1.10023,2.02623,1.04505,0.000175721,0.000175721,0.000175721
64,1749.75,0.95716,0.85827,0.98063,0.58296,0.29597,0.32476,0.24806,1.07618,1.9746,1.04139,0.000171217,0.000171217,0.000171217
65,1774.2,0.96188,0.86433,0.98089,0.58472,0.30009,0.31554,0.23933,1.09287,2.00851,1.04151,0.000166712,0.000166712,0.000166712
66,1798.6,0.95803,0.86448,0.97959,0.60784,0.29251,0.31729,0.24179,1.10345,2.02092,1.051,0.000162207,0.000162207,0.000162207
67,1823.09,0.95896,0.8603,0.97638,0.58699,0.30489,0.32589,0.24722,1.08483,1.98926,1.036,0.000157703,0.000157703,0.000157703
68,1847.88,0.93691,0.83462,0.97599,0.59055,0.29752,0.32789,0.25003,1.08059,1.98726,1.03578,0.000153198,0.000153198,0.000153198
69,1872.65,0.95146,0.83185,0.97702,0.61287,0.29046,0.32385,0.24505,1.09075,2.00611,1.04434,0.000148694,0.000148694,0.000148694
70,1897.47,0.94936,0.83894,0.97563,0.57698,0.3131,0.33042,0.25047,1.08835,1.99658,1.03978,0.00014419,0.00014419,0.00014419
71,1922.2,0.93185,0.80649,0.96666,0.61012,0.29684,0.32887,0.25038,1.09119,2.02785,1.03978,0.000139685,0.000139685,0.000139685
72,1946.89,0.948,0.82778,0.97173,0.57987,0.31398,0.33219,0.25306,1.08491,2.00767,1.03725,0.000135181,0.000135181,0.000135181
73,1971.58,0.93282,0.8031,0.97108,0.59902,0.3061,0.32856,0.25123,1.09137,1.99613,1.04326,0.000130676,0.000130676,0.000130676
74,1996.19,0.92042,0.80037,0.9662,0.58311,0.30628,0.32314,0.24569,1.09059,2.00782,1.03594,0.000126172,0.000126172,0.000126172
75,2020.97,0.92446,0.79696,0.9689,0.5882,0.30639,0.32745,0.24827,1.08747,1.9952,1.03855,0.000121667,0.000121667,0.000121667
76,2045.81,0.92526,0.78903,0.96658,0.54723,0.31776,0.32904,0.25028,1.08889,1.99716,1.04176,0.000117163,0.000117163,0.000117163
77,2070.38,0.91779,0.78476,0.96301,0.61194,0.30356,0.33216,0.2527,1.08804,1.99449,1.04045,0.000112658,0.000112658,0.000112658
78,2095.36,0.92928,0.79301,0.96016,0.5881,0.30818,0.32963,0.25085,1.08203,2.00998,1.03623,0.000108154,0.000108154,0.000108154
79,2120.27,0.93083,0.78577,0.96942,0.60061,0.30312,0.32625,0.24787,1.08627,2.03102,1.03964,0.000103649,0.000103649,0.000103649
80,2145.3,0.91353,0.77061,0.96169,0.59803,0.31428,0.33,0.24984,1.09169,2.0234,1.04048,9.91445e-05,9.91445e-05,9.91445e-05
81,2170.31,0.9081,0.76113,0.95739,0.60285,0.30958,0.33197,0.25304,1.08129,2.00153,1.0418,9.464e-05,9.464e-05,9.464e-05
82,2195.18,0.90499,0.7534,0.95789,0.62444,0.31045,0.33339,0.25441,1.08199,2.03,1.03812,9.01355e-05,9.01355e-05,9.01355e-05
83,2220.18,0.91425,0.75735,0.96259,0.58573,0.31241,0.33296,0.25403,1.07769,1.99418,1.03394,8.5631e-05,8.5631e-05,8.5631e-05
84,2245.15,0.89236,0.7426,0.95574,0.56534,0.31468,0.32975,0.25111,1.08061,2.02513,1.0402,8.11265e-05,8.11265e-05,8.11265e-05
85,2270,0.89949,0.75561,0.959,0.56359,0.32164,0.33391,0.25329,1.0758,2.01106,1.03691,7.6622e-05,7.6622e-05,7.6622e-05
86,2295.39,0.88916,0.73616,0.95832,0.62555,0.31349,0.33337,0.25336,1.08148,1.99525,1.03758,7.21175e-05,7.21175e-05,7.21175e-05
87,2320.69,0.88185,0.72474,0.95097,0.56788,0.31912,0.33243,0.25308,1.07708,2.01023,1.03361,6.7613e-05,6.7613e-05,6.7613e-05
88,2346.14,0.89429,0.75155,0.95523,0.59803,0.31621,0.33482,0.25461,1.07645,2.01802,1.03638,6.31085e-05,6.31085e-05,6.31085e-05
89,2371.43,0.89779,0.74291,0.95663,0.57822,0.31729,0.33465,0.25551,1.07769,2.0014,1.03757,5.8604e-05,5.8604e-05,5.8604e-05
