epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
42,3275.45,1.82209,1.27902,2.45386,0.89395,0.88392,0.93161,0.72407,1.61696,0.91261,2.33844,0.000742625,0.000742625,0.000742625
43,3355.08,1.83943,1.27163,2.47734,0.87502,0.87412,0.91668,0.71993,1.59892,0.92338,2.3451,0.00073025,0.00073025,0.00073025
44,3434.77,1.81435,1.23773,2.44857,0.88142,0.91627,0.93029,0.72576,1.62078,0.86902,2.37214,0.000717875,0.000717875,0.000717875
45,3514.76,1.81975,1.25559,2.46344,0.86989,0.89578,0.91971,0.71933,1.6386,0.95518,2.38904,0.0007055,0.0007055,0.0007055
46,3594.66,1.80319,1.27723,2.46276,0.89394,0.88121,0.92676,0.72349,1.60303,0.90623,2.36216,0.000693125,0.000693125,0.000693125
47,3674.21,1.81296,1.24556,2.4557,0.90809,0.88024,0.93222,0.72354,1.62562,0.9052,2.36488,0.00068075,0.00068075,0.00068075
48,3754.03,1.78663,1.2175,2.43161,0.90986,0.86472,0.92902,0.72155,1.61432,0.92284,2.34537,0.000668375,0.000668375,0.000668375
49,3834.2,1.77271,1.21628,2.42991,0.90215,0.9024,0.93195,0.72833,1.62099,0.85647,2.36255,0.000656,0.000656,0.000656
50,3914.55,1.77084,1.18022,2.43599,0.90735,0.89476,0.93127,0.72543,1.61572,0.8706,2.36546,0.000643625,0.000643625,0.000643625
51,3995.89,1.74559,1.14177,2.41872,0.88967,0.90344,0.93224,0.72748,1.59905,0.88152,2.33844,0.00063125,0.00063125,0.00063125
52,4073.59,1.76973,1.17941,2.43191,0.88732,0.87793,0.92769,0.71799,1.64391,0.91612,2.38037,0.000618875,0.000618875,0.000618875
53,4151.39,1.7335,1.12379,2.41068,0.93029,0.87454,0.93418,0.72921,1.62038,0.8935,2.34517,0.0006065,0.0006065,0.0006065
54,4229.72,1.75001,1.16556,2.40974,0.89012,0.89681,0.93045,0.73022,1.58641,0.86505,2.33913,0.000594125,0.000594125,0.000594125
55,4307.7,1.73107,1.14374,2.40789,0.91237,0.88691,0.93419,0.72737,1.56847,0.91109,2.33393,0.00058175,0.00058175,0.00058175
56,4385.22,1.72382,1.132,2.38819,0.89705,0.91082,0.94168,0.73509,1.60449,0.88158,2.34904,0.000569375,0.000569375,0.000569375
57,4463.06,1.72445,1.10614,2.38126,0.9007,0.91382,0.93546,0.72758,1.58886,0.86449,2.33981,0.000557,0.000557,0.000557
58,4541.01,1.70997,1.09321,2.37265,0.93855,0.87663,0.93932,0.73694,1.58251,0.89865,2.32771,0.000544625,0.000544625,0.000544625
59,4618.68,1.67754,1.05825,2.37139,0.93426,0.9018,0.94531,0.74164,1.57009,0.87574,2.3144,0.00053225,0.00053225,0.00053225
60,4696.66,1.67736,1.07941,2.35657,0.86709,0.91291,0.93071,0.73589,1.57974,0.84418,2.33548,0.000519875,0.000519875,0.000519875
61,4774.6,1.68819,1.065,2.37266,0.91042,0.91013,0.94547,0.74451,1.56501,0.82807,2.31917,0.0005075,0.0005075,0.0005075
62,4853.35,1.68194,1.0534,2.3552,0.92892,0.88449,0.94028,0.7389,1.55931,0.83159,2.32608,0.000495125,0.000495125,0.000495125
63,4933.93,1.66806,1.05749,2.36176,0.91627,0.9119,0.94787,0.74735,1.55546,0.83686,2.30841,0.00048275,0.00048275,0.00048275
64,5014.36,1.65184,1.03023,2.35437,0.91524,0.92206,0.95091,0.75187,1.55227,0.83986,2.29923,0.000470375,0.000470375,0.000470375
65,5094.77,1.63817,1.04169,2.34916,0.91575,0.91018,0.94716,0.75496,1.53697,0.79852,2.29591,0.000458,0.000458,0.000458
66,5175.25,1.64682,1.0259,2.35192,0.92172,0.91809,0.95058,0.75134,1.55263,0.81579,2.29204,0.000445625,0.000445625,0.000445625
67,5255.51,1.62319,1.01211,2.33368,0.90526,0.92084,0.95008,0.7533,1.54963,0.78874,2.30948,0.00043325,0.00043325,0.00043325
68,5335.72,1.64009,1.02473,2.34596,0.92072,0.92568,0.95546,0.75859,1.55501,0.78284,2.32248,0.000420875,0.000420875,0.000420875
