epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,29.2199,2.85277,5.69927,3.26538,0.16545,0.45614,0.13451,0.06639,3.68219,35.7326,4.69666,0.000412138,0.000412138,0.000412138
2,50.6422,3.37433,4.76391,3.57486,0.36942,0.33333,0.24982,0.08902,4.22403,5.61325,4.83137,0.000815129,0.000815129,0.000815129
3,71.7776,3.50785,4.93603,3.68081,0.32637,0.22807,0.13767,0.03746,5.45439,16.9852,6.23753,0.00120437,0.00120437,0.00120437
4,92.9306,3.3363,4.64104,3.5699,0.14266,0.17544,0.10541,0.03381,5.12841,10.7773,5.19474,0.00118812,0.00118812,0.00118812
5,114.105,3.35425,4.64278,3.57288,0.36278,0.31579,0.24484,0.09725,5.27715,10.2353,5.91186,0.0011675,0.0011675,0.0011675
6,135.203,3.10455,4.18558,3.39723,0.41598,0.4386,0.39685,0.20302,3.59126,5.64094,4.02015,0.00114688,0.00114688,0.00114688
7,156.41,3.09799,3.90901,3.34513,0.51247,0.54386,0.44934,0.21809,3.35764,4.69835,3.91258,0.00112625,0.00112625,0.00112625
8,177.517,2.93783,3.63323,3.27383,0.61567,0.50588,0.54729,0.25443,3.61814,4.55122,3.999,0.00110563,0.00110563,0.00110563
9,198.6,2.92321,3.66668,3.25681,0.6161,0.59127,0.57852,0.29598,3.30575,3.25631,3.74339,0.001085,0.001085,0.001085
10,219.753,2.89233,3.413,3.18879,0.72184,0.52359,0.6207,0.31167,3.58409,3.72852,4.04546,0.00106437,0.00106437,0.00106437
11,240.927,2.8086,3.38151,3.14397,0.75728,0.5,0.58817,0.30289,3.70819,4.07192,3.74906,0.00104375,0.00104375,0.00104375
12,262.043,2.81527,3.29218,3.13011,0.72357,0.64035,0.71399,0.40186,3.38384,3.49382,3.84344,0.00102312,0.00102312,0.00102312
13,283.163,2.77053,3.23218,3.17286,0.57919,0.61576,0.64277,0.33303,3.5409,3.12917,3.75745,0.0010025,0.0010025,0.0010025
14,304.222,2.66103,3.11166,3.08592,0.76328,0.50912,0.64964,0.35079,3.2833,3.00655,3.81405,0.000981875,0.000981875,0.000981875
15,325.313,2.66016,3.02046,3.04438,0.77035,0.63158,0.67943,0.38327,2.93915,3.03692,3.3463,0.00096125,0.00096125,0.00096125
16,346.435,2.57879,2.95054,3.00795,0.60844,0.7193,0.67022,0.39702,3.21626,2.75994,3.76648,0.000940625,0.000940625,0.000940625
17,367.56,2.6259,2.84149,3.02683,0.77482,0.66667,0.74845,0.43578,2.98284,2.48846,3.21709,0.00092,0.00092,0.00092
18,388.754,2.55175,2.67998,2.94661,0.81666,0.58612,0.6997,0.43059,2.69521,2.64211,3.18063,0.000899375,0.000899375,0.000899375
19,409.884,2.58077,2.75679,2.98399,0.67058,0.69643,0.72761,0.43523,2.94442,2.59626,3.35148,0.00087875,0.00087875,0.00087875
20,430.925,2.51311,2.65951,2.9596,0.73884,0.62043,0.6336,0.35038,3.20262,3.27167,3.50878,0.000858125,0.000858125,0.000858125
21,452.065,2.47089,2.59856,2.93941,0.61774,0.61404,0.66879,0.39967,3.04387,2.81559,3.5082,0.0008375,0.0008375,0.0008375
22,473.231,2.42585,2.52473,2.89786,0.8407,0.60184,0.73777,0.45224,2.64959,2.78339,3.23151,0.000816875,0.000816875,0.000816875
23,494.396,2.45933,2.57108,2.93292,0.82214,0.69298,0.74539,0.43549,2.95815,2.43078,3.15403,0.00079625,0.00079625,0.00079625
24,515.531,2.3686,2.38204,2.84099,0.82276,0.77368,0.79839,0.46213,2.79699,1.93115,3.26961,0.000775625,0.000775625,0.000775625
25,536.679,2.42071,2.35896,2.85426,0.79793,0.72742,0.79008,0.46962,2.73807,2.26985,3.2768,0.000755,0.000755,0.000755
26,557.782,2.33106,2.27748,2.80612,0.68845,0.78947,0.76318,0.48638,2.73234,2.22674,3.18366,0.000734375,0.000734375,0.000734375
27,578.927,2.35059,2.24877,2.79875,0.76372,0.68421,0.70688,0.42675,2.81489,2.98423,3.19433,0.00071375,0.00071375,0.00071375
28,600.037,2.28824,2.16953,2.7775,0.78726,0.64912,0.72902,0.45178,2.77231,2.41526,3.13794,0.000693125,0.000693125,0.000693125
29,621.347,2.27922,2.16105,2.80211,0.77118,0.65789,0.74006,0.50316,2.42992,1.98628,2.9415,0.0006725,0.0006725,0.0006725
30,642.508,2.21163,2.14393,2.75458,0.83674,0.75439,0.79265,0.52816,2.63744,1.87091,3.06194,0.000651875,0.000651875,0.000651875
31,663.64,2.27074,2.13253,2.73929,0.74567,0.69439,0.751,0.48635,2.62959,2.22789,3.17252,0.00063125,0.00063125,0.00063125
32,684.743,2.19907,2.06456,2.73308,0.84922,0.68421,0.79287,0.50799,2.84791,2.03764,3.26946,0.000610625,0.000610625,0.000610625
