epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,20.5868,1.43735,2.09338,1.56192,0.4702,0.39474,0.37249,0.21093,1.85013,12.5175,2.19711,0.000470304,0.000470304,0.000470304
2,37.3994,1.67134,2.10335,1.74195,0.01402,0.16667,0.00988,0.00267,3.44031,inf,12.6971,0.000931018,0.000931018,0.000931018
3,54.1399,1.77728,2.23406,1.84226,0.44222,0.31579,0.28843,0.12062,2.4932,3.3529,2.86672,0.00137601,0.00137601,0.00137601
4,70.8241,1.66382,2.13606,1.76977,0.15557,0.25439,0.14528,0.05129,2.09521,4.8813,2.42419,0.00135826,0.00135826,0.00135826
5,87.4726,1.64411,2.04521,1.76767,0.49498,0.38691,0.37054,0.17487,1.9307,2.75407,2.06302,0.00133469,0.00133469,0.00133469
6,104.139,1.55985,1.91819,1.71612,0.40172,0.40351,0.35819,0.13674,2.3854,3.21575,2.61943,0.00131111,0.00131111,0.00131111
7,120.837,1.56183,1.90622,1.68632,0.54636,0.55263,0.55614,0.26712,1.9002,2.09272,1.95127,0.00128753,0.00128753,0.00128753
8,137.708,1.5465,1.87488,1.67911,0.6117,0.53509,0.54642,0.27635,2.08263,1.76728,2.35618,0.00126395,0.00126395,0.00126395
9,154.617,1.48146,1.70715,1.63597,0.67034,0.59649,0.6644,0.39589,1.55785,1.56595,1.65474,0.00124037,0.00124037,0.00124037
10,171.583,1.43262,1.61333,1.5932,0.69408,0.63158,0.69037,0.42848,1.54832,1.46931,1.81507,0.00121679,0.00121679,0.00121679
11,188.492,1.41277,1.58841,1.56879,0.76151,0.70026,0.72582,0.42177,1.7096,1.70369,1.84208,0.00119322,0.00119322,0.00119322
12,205.435,1.45034,1.58507,1.60166,0.64597,0.72807,0.69663,0.42157,1.47186,1.44632,1.5508,0.00116964,0.00116964,0.00116964
13,222.397,1.35596,1.50013,1.53346,0.66815,0.60526,0.64179,0.37534,1.55611,1.64686,1.73104,0.00114606,0.00114606,0.00114606
