epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,20.4398,1.35459,2.13892,1.53259,0.37091,0.52632,0.43624,0.22138,1.78686,4.48945,1.98412,0.000411523,0.000411523,0.000411523
2,37.4737,1.55079,1.97382,1.70072,0.18325,0.25439,0.1151,0.04374,2.33614,8.47266,3.07305,0.000814524,0.000814524,0.000814524
3,54.3772,1.64616,2.10135,1.77692,0.20078,0.14912,0.11672,0.03497,2.44301,10.1901,2.71442,0.00120378,0.00120378,0.00120378
4,71.3153,1.66767,2.19155,1.78686,0.09608,0.12281,0.04329,0.01596,2.58728,9.54108,3.14258,0.00118812,0.00118812,0.00118812
5,88.4282,1.65366,2.11633,1.76597,0.46633,0.42982,0.39122,0.17761,1.84466,3.24084,2.02667,0.0011675,0.0011675,0.0011675
6,105.675,1.57936,1.9147,1.70591,0.45065,0.40351,0.35609,0.15641,2.33486,2.28117,2.43051,0.00114688,0.00114688,0.00114688
7,122.877,1.50605,1.83313,1.66736,0.57371,0.58772,0.5903,0.34046,1.64207,1.77809,1.79071,0.00112625,0.00112625,0.00112625
8,140.263,1.46393,1.72491,1.61985,0.61722,0.57018,0.62261,0.37463,1.70559,1.95453,1.87333,0.00110563,0.00110563,0.00110563
9,157.694,1.43995,1.6739,1.60229,0.68292,0.5857,0.61334,0.36998,1.4252,1.58734,1.61447,0.001085,0.001085,0.001085
10,175.152,1.40537,1.56714,1.58013,0.73265,0.55288,0.64974,0.353,1.75854,1.71135,1.99402,0.00106437,0.00106437,0.00106437
11,192.667,1.38319,1.58713,1.57444,0.71527,0.72807,0.76248,0.46835,1.46488,1.28589,1.65896,0.00104375,0.00104375,0.00104375
12,210.218,1.3579,1.52545,1.55202,0.63904,0.66779,0.63187,0.32611,1.73929,1.78009,1.86075,0.00102312,0.00102312,0.00102312
13,227.773,1.31878,1.44885,1.52203,0.789,0.64912,0.71053,0.44111,1.59621,1.45578,1.71581,0.0010025,0.0010025,0.0010025
14,245.374,1.32601,1.42638,1.53506,0.69051,0.70175,0.67917,0.38738,1.76184,1.46929,1.87104,0.000981875,0.000981875,0.000981875
15,263.055,1.28728,1.3387,1.5051,0.74454,0.67544,0.71519,0.43504,1.44252,1.57633,1.6069,0.00096125,0.00096125,0.00096125
16,280.684,1.29784,1.35497,1.49952,0.73554,0.73192,0.75602,0.46988,1.43692,1.2839,1.65702,0.000940625,0.000940625,0.000940625
17,298.545,1.25159,1.31005,1.45585,0.81639,0.71053,0.77862,0.46344,1.53253,1.21011,1.75289,0.00092,0.00092,0.00092
18,316.387,1.22347,1.26151,1.4567,0.77104,0.61404,0.71286,0.44778,1.47222,1.39018,1.59419,0.000899375,0.000899375,0.000899375
19,334.175,1.20669,1.22934,1.44417,0.84833,0.71053,0.80412,0.49204,1.38986,1.15955,1.54413,0.00087875,0.00087875,0.00087875
20,351.988,1.20469,1.22198,1.43255,0.76573,0.84211,0.83231,0.51507,1.44534,1.08451,1.59551,0.000858125,0.000858125,0.000858125
21,369.771,1.21195,1.18393,1.42948,0.76162,0.72807,0.75271,0.48017,1.40583,1.10387,1.66295,0.0008375,0.0008375,0.0008375
22,387.413,1.1604,1.16144,1.41959,0.83548,0.7807,0.84487,0.54825,1.30537,0.96178,1.53636,0.000816875,0.000816875,0.000816875
23,405.185,1.1678,1.11324,1.4035,0.83792,0.77094,0.82524,0.53297,1.31403,0.94216,1.51078,0.00079625,0.00079625,0.00079625
24,422.855,1.17429,1.10532,1.42791,0.83064,0.77441,0.8196,0.53587,1.33171,0.92118,1.62507,0.000775625,0.000775625,0.000775625
25,440.633,1.1597,1.09625,1.40526,0.79986,0.60526,0.72077,0.45365,1.53067,1.31329,1.65755,0.000755,0.000755,0.000755
26,458.471,1.14383,1.06551,1.39652,0.87196,0.77663,0.86135,0.5514,1.28919,0.85579,1.51115,0.000734375,0.000734375,0.000734375
27,476.303,1.11379,1.03442,1.35943,0.75478,0.78303,0.79526,0.52193,1.34941,1.10988,1.5514,0.00071375,0.00071375,0.00071375
28,494.07,1.11415,1.02796,1.38519,0.85381,0.71728,0.80736,0.52828,1.29106,0.90006,1.5071,0.000693125,0.000693125,0.000693125
29,511.73,1.10569,1.02222,1.36273,0.77807,0.73684,0.76775,0.48429,1.4762,1.1103,1.65354,0.0006725,0.0006725,0.0006725
30,529.474,1.07282,0.98914,1.33448,0.88993,0.70175,0.8048,0.55887,1.21621,0.93576,1.50138,0.000651875,0.000651875,0.000651875
31,547.332,1.08572,0.99426,1.36249,0.69496,0.75439,0.78196,0.51343,1.31796,1.02528,1.51422,0.00063125,0.00063125,0.00063125
32,565.06,1.07874,0.97544,1.35166,0.91448,0.65664,0.77731,0.52716,1.34722,0.98059,1.57037,0.000610625,0.000610625,0.000610625
33,582.813,1.05251,0.93809,1.34014,0.86838,0.69453,0.81131,0.54663,1.28149,0.94488,1.51734,0.00059,0.00059,0.00059
34,600.715,1.05737,0.91103,1.33078,0.81365,0.73684,0.79817,0.54119,1.24957,0.83348,1.50976,0.000569375,0.000569375,0.000569375
35,618.44,1.03904,0.94935,1.33373,0.94782,0.71053,0.8665,0.59545,1.20039,0.83194,1.43118,0.00054875,0.00054875,0.00054875
36,636.242,1.02185,0.87801,1.30074,0.88357,0.72807,0.83436,0.55754,1.34316,0.88004,1.54691,0.000528125,0.000528125,0.000528125
37,653.855,0.98469,0.85106,1.28261,0.89814,0.73684,0.84645,0.56498,1.22125,0.79499,1.44675,0.0005075,0.0005075,0.0005075
