epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,33.1993,2.47955,5.11604,2.92433,0.09325,0.16,0.07861,0.0295,4,34.4187,4.83449,0.0004125,0.0004125,0.0004125
2,59.0207,2.94056,4.14634,3.23132,0.27015,0.32729,0.24861,0.11966,4.58514,7.57713,5.13823,0.000815485,0.000815485,0.000815485
3,84.0398,3.0797,4.18411,3.30494,0.38664,0.31182,0.27323,0.15885,3.7562,7.20037,4.62298,0.00120472,0.00120472,0.00120472
4,108.15,3.02233,4.06438,3.28896,0.31071,0.34883,0.22405,0.10415,4.26486,10.3986,4.68027,0.00118812,0.00118812,0.00118812
5,132.85,2.95626,3.92099,3.18489,0.44975,0.49578,0.48999,0.25799,3.25776,4.97548,3.59384,0.0011675,0.0011675,0.0011675
6,158.72,2.85128,3.65405,3.13519,0.54166,0.4938,0.51988,0.29729,3.24266,5.59204,3.79968,0.00114688,0.00114688,0.00114688
7,187.84,2.68316,3.35043,3.04078,0.5706,0.55058,0.54951,0.33331,2.96347,4.45062,3.33724,0.00112625,0.00112625,0.00112625
8,216.063,2.64699,3.17814,3.00718,0.59131,0.55519,0.56888,0.35396,2.80385,5.06337,3.31827,0.00110563,0.00110563,0.00110563
9,243.488,2.63399,3.14483,2.99085,0.60848,0.34488,0.38868,0.24934,3.35541,6.63178,3.78659,0.001085,0.001085,0.001085
10,270.843,2.52714,2.88763,2.88136,0.71607,0.62831,0.65014,0.43674,2.5568,4.32768,2.99007,0.00106437,0.00106437,0.00106437
11,298.19,2.41706,2.75685,2.85173,0.70303,0.56261,0.62728,0.43918,2.52723,4.11523,2.99877,0.00104375,0.00104375,0.00104375
12,325.426,2.37993,2.69994,2.82441,0.66646,0.48298,0.56686,0.37307,2.68903,4.7353,3.15405,0.00102312,0.00102312,0.00102312
