epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,67.6741,1.19957,2.86307,1.1737,0.29123,0.1948,0.11866,0.08408,1.12577,2.46606,1.10203,0.00015109,0.00015109,0.00015109
2,132.039,1.24784,2.3178,1.19885,0.18832,0.18385,0.11871,0.07726,1.28226,2.51988,1.23373,0.000299759,0.000299759,0.000299759
3,196.272,1.3008,2.25917,1.23712,0.27853,0.17759,0.1111,0.07602,1.31706,2.59945,1.26992,0.000445426,0.000445426,0.000445426
4,260.744,1.31976,2.23344,1.24706,0.26756,0.16241,0.12971,0.08852,1.28628,2.41923,1.26296,0.000441486,0.000441486,0.000441486
5,326.314,1.28027,2.08928,1.23671,0.37588,0.20077,0.14926,0.10191,1.247,2.45529,1.23117,0.000436982,0.000436982,0.000436982
6,391.342,1.22927,2.01554,1.21252,0.37899,0.21036,0.15833,0.10855,1.26571,2.27987,1.25296,0.000432478,0.000432478,0.000432478
7,456.393,1.21757,1.89453,1.19345,0.32281,0.21427,0.16172,0.11159,1.20311,2.28977,1.21957,0.000427973,0.000427973,0.000427973
8,521.459,1.18908,1.80601,1.1898,0.30685,0.22917,0.17642,0.12381,1.23171,2.27112,1.21843,0.000423468,0.000423468,0.000423468
9,586.641,1.16544,1.74069,1.16983,0.3503,0.21341,0.17829,0.12273,1.20352,2.22284,1.2045,0.000418964,0.000418964,0.000418964
10,651.663,1.157,1.65126,1.15642,0.34061,0.22575,0.19985,0.14207,1.19359,2.20255,1.19589,0.00041446,0.00041446,0.00041446
11,717.54,1.13068,1.58012,1.14296,0.38637,0.23584,0.21327,0.14806,1.197,2.14353,1.19044,0.000409955,0.000409955,0.000409955
12,783.889,1.12146,1.48957,1.14056,0.40125,0.25354,0.2329,0.16358,1.17716,2.04047,1.1776,0.000405451,0.000405451,0.000405451
13,850.108,1.07466,1.40743,1.1208,0.38174,0.26317,0.22095,0.15715,1.16396,2.11681,1.17358,0.000400946,0.000400946,0.000400946
14,916.121,1.08128,1.38978,1.1247,0.3862,0.25464,0.22563,0.16489,1.17647,2.11389,1.19392,0.000396441,0.000396441,0.000396441
15,982.412,1.06722,1.33396,1.11979,0.38838,0.27371,0.24262,0.1732,1.1669,2.05518,1.17364,0.000391937,0.000391937,0.000391937
16,1048.87,1.05615,1.28712,1.09967,0.42147,0.24509,0.23137,0.16663,1.12138,2.10895,1.1722,0.000387433,0.000387433,0.000387433
17,1114.92,1.02948,1.23459,1.09139,0.47095,0.26681,0.264,0.19307,1.12699,1.96494,1.1679,0.000382928,0.000382928,0.000382928
18,1181.39,1.04134,1.19133,1.09189,0.40798,0.28946,0.26549,0.19242,1.15188,1.9959,1.174,0.000378423,0.000378423,0.000378423
19,1247.6,1.01411,1.162,1.0829,0.42873,0.29437,0.27371,0.20254,1.12386,1.96263,1.1673,0.000373919,0.000373919,0.000373919
20,1314,1.01289,1.1182,1.07746,0.46366,0.29228,0.27437,0.20308,1.12037,1.99762,1.1544,0.000369415,0.000369415,0.000369415
21,1380.26,0.99937,1.09027,1.07287,0.47574,0.27404,0.2737,0.20057,1.10318,1.99711,1.1528,0.00036491,0.00036491,0.00036491
22,1446.45,0.98869,1.04836,1.06802,0.42572,0.29133,0.28213,0.21036,1.11902,2.03125,1.15642,0.000360406,0.000360406,0.000360406
23,1512.67,0.97071,1.00058,1.06192,0.44957,0.30518,0.29141,0.2171,1.10532,2.03511,1.14885,0.000355901,0.000355901,0.000355901
24,1579.06,0.98139,0.99567,1.05599,0.44887,0.30598,0.29017,0.21629,1.10476,2.02895,1.15212,0.000351396,0.000351396,0.000351396
25,1645.13,0.9603,0.96918,1.05238,0.48475,0.30074,0.29868,0.22188,1.10405,1.95785,1.13794,0.000346892,0.000346892,0.000346892
26,1711.4,0.96552,0.96361,1.05235,0.49357,0.31105,0.30826,0.23105,1.08323,1.90805,1.13861,0.000342387,0.000342387,0.000342387
27,1777.78,0.92691,0.88451,1.03615,0.51709,0.30938,0.29951,0.22356,1.08557,1.97748,1.12585,0.000337883,0.000337883,0.000337883
28,1843.84,0.93375,0.88795,1.0361,0.54033,0.30756,0.31863,0.23929,1.07324,1.95485,1.11779,0.000333379,0.000333379,0.000333379
29,1909.37,0.93574,0.86252,1.03033,0.56082,0.30838,0.31289,0.23135,1.07821,1.98922,1.12614,0.000328874,0.000328874,0.000328874
30,1974.49,0.92831,0.85796,1.02876,0.58682,0.29628,0.31626,0.23461,1.06729,1.95195,1.12619,0.000324369,0.000324369,0.000324369
31,2039.48,0.91297,0.83453,1.02477,0.49044,0.33406,0.32758,0.24291,1.06878,1.92704,1.12303,0.000319865,0.000319865,0.000319865
32,2104.37,0.91424,0.82396,1.02622,0.5358,0.31696,0.33451,0.25174,1.07152,1.90648,1.13304,0.00031536,0.00031536,0.00031536
33,2169.34,0.9229,0.8082,1.02382,0.57194,0.32507,0.33651,0.25565,1.06575,1.93607,1.12347,0.000310856,0.000310856,0.000310856
34,2234.32,0.89571,0.78998,1.01874,0.53386,0.32286,0.33091,0.24904,1.07308,1.95414,1.11867,0.000306351,0.000306351,0.000306351
35,2299.38,0.88223,0.75169,1.01775,0.59241,0.31254,0.33599,0.2527,1.06224,1.94244,1.12105,0.000301847,0.000301847,0.000301847
36,2364.3,0.87278,0.74833,1.00563,0.52835,0.33241,0.33823,0.25389,1.06034,1.9791,1.12348,0.000297342,0.000297342,0.000297342
37,2429.17,0.87459,0.73272,1.00424,0.59988,0.30473,0.32578,0.24534,1.07539,2.03053,1.12354,0.000292838,0.000292838,0.000292838
38,2493.95,0.86365,0.71795,1.00208,0.6124,0.3218,0.34751,0.2627,1.05603,1.9174,1.10773,0.000288333,0.000288333,0.000288333
39,2558.84,0.86494,0.7203,0.99687,0.58152,0.33847,0.35147,0.26568,1.0361,1.91275,1.09661,0.000283829,0.000283829,0.000283829
40,2623.79,0.84909,0.6884,0.99228,0.64908,0.32377,0.35225,0.26483,1.04592,1.93183,1.10556,0.000279325,0.000279325,0.000279325
41,2688.71,0.85747,0.69925,0.99888,0.62952,0.33478,0.3638,0.27343,1.04379,1.89441,1.09595,0.00027482,0.00027482,0.00027482
42,2753.68,0.84646,0.68306,0.98965,0.5973,0.34338,0.36513,0.27362,1.02551,1.86979,1.09017,0.000270316,0.000270316,0.000270316
43,2818.48,0.82721,0.65997,0.98616,0.62773,0.33656,0.35864,0.27056,1.03829,1.97121,1.09791,0.000265811,0.000265811,0.000265811
44,2883.42,0.82838,0.66063,0.98751,0.59666,0.33691,0.35483,0.26572,1.05728,1.96713,1.11269,0.000261307,0.000261307,0.000261307
45,2948.3,0.83127,0.65101,0.98155,0.63147,0.33108,0.36015,0.27225,1.03261,1.92904,1.09322,0.000256802,0.000256802,0.000256802
46,3013.39,0.82963,0.64401,0.98035,0.62936,0.34107,0.36725,0.27782,1.02467,1.91451,1.09266,0.000252298,0.000252298,0.000252298
47,3078.24,0.81624,0.64415,0.97947,0.63254,0.34003,0.3552,0.26897,1.02898,1.98125,1.09288,0.000247793,0.000247793,0.000247793
48,3143.34,0.82211,0.63195,0.98077,0.60483,0.34654,0.36219,0.27645,1.03893,1.9327,1.09728,0.000243289,0.000243289,0.000243289
49,3208.3,0.80749,0.62045,0.97479,0.59908,0.33956,0.36236,0.27353,1.03797,1.9473,1.10416,0.000238784,0.000238784,0.000238784
50,3273.39,0.81221,0.61726,0.96973,0.60454,0.35305,0.36245,0.27303,1.02444,1.97881,1.092,0.00023428,0.00023428,0.00023428
51,3338.61,0.79382,0.59814,0.96633,0.63675,0.34302,0.36344,0.2744,1.0237,1.96755,1.0905,0.000229775,0.000229775,0.000229775
52,3403.56,0.79651,0.59829,0.9694,0.59625,0.35178,0.36657,0.27824,1.02871,1.97954,1.10226,0.00022527,0.00022527,0.00022527
53,3468.66,0.78976,0.5927,0.96475,0.60242,0.3453,0.36512,0.27744,1.02512,2.0033,1.09702,0.000220766,0.000220766,0.000220766
54,3533.47,0.77674,0.57656,0.95836,0.63478,0.34825,0.36711,0.28143,1.0082,1.95516,1.08808,0.000216261,0.000216261,0.000216261
55,3598.7,0.77917,0.5734,0.9609,0.68498,0.35383,0.38775,0.2953,0.99119,1.86077,1.08006,0.000211757,0.000211757,0.000211757
56,3663.74,0.77404,0.57377,0.95881,0.61071,0.35402,0.37512,0.28627,1.02261,1.9424,1.09083,0.000207252,0.000207252,0.000207252
57,3736.15,0.76496,0.55868,0.95316,0.63898,0.35555,0.38069,0.29051,1.00743,1.93138,1.08706,0.000202748,0.000202748,0.000202748
58,3801.21,0.7669,0.5528,0.9522,0.66617,0.34797,0.38106,0.29154,1.01097,1.96365,1.09181,0.000198244,0.000198244,0.000198244
59,3866.76,0.75713,0.55381,0.95463,0.6404,0.35679,0.38546,0.29338,1.00542,1.91428,1.08944,0.000193739,0.000193739,0.000193739
60,3932.44,0.75075,0.53965,0.9487,0.66821,0.35076,0.38152,0.29307,0.99546,1.93515,1.08369,0.000189235,0.000189235,0.000189235
61,3997.7,0.74603,0.53215,0.94895,0.6246,0.36031,0.38287,0.29175,1.00162,1.96473,1.08254,0.00018473,0.00018473,0.00018473
62,4063.18,0.73175,0.52132,0.94059,0.64569,0.35591,0.38229,0.29304,1.0026,1.98223,1.08333,0.000180226,0.000180226,0.000180226
63,4128.72,0.74196,0.52068,0.93965,0.64315,0.3655,0.39104,0.30004,0.99767,1.91775,1.08069,0.000175721,0.000175721,0.000175721
64,4194.29,0.73324,0.51594,0.9405,0.6272,0.36836,0.39515,0.30578,0.99377,1.94184,1.08795,0.000171217,0.000171217,0.000171217
65,4259.62,0.73471,0.51744,0.94287,0.64208,0.35783,0.39178,0.30098,0.99182,1.97901,1.07614,0.000166712,0.000166712,0.000166712
66,4325.3,0.73682,0.51564,0.94316,0.65958,0.36008,0.39201,0.3009,0.99969,1.96517,1.08433,0.000162207,0.000162207,0.000162207
67,4390.66,0.73413,0.51481,0.93739,0.67421,0.36063,0.40386,0.30818,0.99966,1.94359,1.08447,0.000157703,0.000157703,0.000157703
68,4456.42,0.70933,0.49946,0.93482,0.6295,0.37645,0.40573,0.31131,0.98348,1.90357,1.07834,0.000153198,0.000153198,0.000153198
69,4522.02,0.72255,0.50047,0.93466,0.71248,0.35326,0.39814,0.30677,0.98872,1.92335,1.07916,0.000148694,0.000148694,0.000148694
70,4588.41,0.72404,0.49962,0.9316,0.69031,0.36452,0.40218,0.3104,0.98508,1.91804,1.07756,0.00014419,0.00014419,0.00014419
71,4654.71,0.69799,0.47659,0.92508,0.66033,0.3734,0.40592,0.31013,0.98466,1.89833,1.07909,0.000139685,0.000139685,0.000139685
72,4720.58,0.71187,0.49443,0.92922,0.65441,0.36581,0.40113,0.31119,0.97326,1.91622,1.07147,0.000135181,0.000135181,0.000135181
73,4786.54,0.69489,0.47424,0.9282,0.65914,0.37105,0.40714,0.31752,0.96573,1.91299,1.07202,0.000130676,0.000130676,0.000130676
74,4852.35,0.68375,0.46628,0.92114,0.75877,0.34856,0.4072,0.31498,0.97853,1.92013,1.07723,0.000126172,0.000126172,0.000126172
